Mean,Std,Variance,Delta,Theta,Alpha,Beta,Gamma,Label
-2.8276548288634227e-07,3.0190645534392597e-05,1.4162920970135423e-09,1.256883486936242e-09,1.504901647909644e-10,2.9218591990567794e-11,5.6148421228880204e-11,2.971113889004171e-11,0
-3.5095202292247545e-07,4.225286583398613e-05,3.048208818206164e-09,2.3524436555310463e-09,3.414479135272425e-10,6.136425401923293e-11,9.947307430710339e-11,8.843056588032147e-11,0
2.82351073713175e-07,3.325860967486447e-05,1.5992213569758346e-09,8.700220383746182e-10,1.6742905025698081e-10,3.2403162622711707e-11,7.827840569672243e-11,8.250399340983342e-11,0
-9.414027034065679e-07,3.6638754171445974e-05,1.9477707624045705e-09,7.601066782569972e-10,2.011224307186266e-10,3.038831696915613e-11,6.362817785111707e-11,4.081947808615032e-11,0
2.290260073589044e-06,3.499110970181188e-05,1.7533884594465192e-09,5.385738186651297e-10,1.1854245594924775e-10,3.628102423334495e-11,7.012254954805514e-11,3.6315126653373746e-11,0
-6.102466345478286e-07,3.409548195376927e-05,1.7741844254030958e-09,8.429643330346944e-10,1.792299874196747e-10,3.119784621260409e-11,5.963030399807846e-11,3.3283216854679045e-11,0
-5.341447483481112e-07,3.445564700979413e-05,1.8010930992120836e-09,1.2416461334643235e-09,2.61399016606321e-10,4.939220241375118e-11,8.717218088300406e-11,7.347314601880105e-11,0
-5.371344077072377e-07,2.5851176055730053e-05,9.066451501978272e-10,6.712980143392406e-10,1.789481231288252e-10,2.905053329445218e-11,4.776762332271812e-11,2.3602502275910566e-11,0
9.742084698214304e-07,4.557577947111033e-05,3.4069762216538846e-09,2.324012855035883e-09,3.251976257598977e-10,4.2196332717452936e-11,9.075790916251265e-11,4.151716009578418e-11,0
-7.586531423020841e-07,2.4995772288298836e-05,7.339204751952331e-10,1.614105208539184e-10,7.785308052949184e-11,2.568289690978521e-11,6.430014553527555e-11,4.936082238492081e-11,0
3.899466236323639e-07,2.1095512271048735e-05,4.634550648158153e-10,2.1160152574882546e-10,9.050224482047224e-11,2.5575682700996442e-11,4.2590140772415726e-11,2.4420189187680276e-11,0
6.886344152715817e-08,3.806066429577566e-05,1.914746168095108e-09,1.6688851206420907e-09,2.384660016978543e-10,3.8067262180091146e-11,5.569879625243388e-11,4.670418582880959e-11,0
-3.3694692296403246e-07,1.7818569741209304e-05,3.4701641831753705e-10,2.0131030401449936e-10,6.28887361382907e-11,2.466449471154653e-11,4.079064457821513e-11,1.9807835953926068e-11,0
2.4404706712681414e-07,2.451500348196154e-05,6.966675035782075e-10,3.8545834077073084e-10,1.5357788863467743e-10,2.6038127149511525e-11,3.4117095981667356e-11,1.6766614280787872e-11,0
-4.328043471326435e-07,2.58674977421718e-05,8.096293434291444e-10,4.411051952998211e-10,1.1998458213916353e-10,2.2236500275439348e-11,3.902424953391549e-11,1.9988448947309558e-11,0
2.1886269923659206e-07,1.7375805572658736e-05,3.1520933853121395e-10,1.289246340479152e-10,6.167498158514081e-11,1.718788957553062e-11,3.369040549012012e-11,1.8592849008308432e-11,0
-5.908279857705108e-07,2.9988655584921166e-05,1.3232343144048823e-09,1.0554119304959644e-09,7.564201051002483e-11,2.2543696357971572e-11,2.947648265301364e-11,1.3572333399366093e-11,0
3.118873846977643e-07,2.718158686982105e-05,9.056464862234553e-10,3.6728590888620974e-10,1.0911000348140143e-10,3.718831810545796e-11,7.668718943807925e-11,4.916590627724423e-11,0
3.804752126246061e-07,1.9624298508285626e-05,4.098903695462613e-10,1.9827830033322282e-10,5.969366927546113e-11,2.7897358695590128e-11,4.7576446182074766e-11,2.7924629548571088e-11,0
-3.870959106692071e-07,2.6094002342869718e-05,7.735268789677427e-10,4.351841232130252e-10,1.28752726172238e-10,3.5528353301581455e-11,4.882661153856663e-11,2.509528505986939e-11,0
5.097487312439466e-07,2.1703301753336967e-05,4.964450904113083e-10,1.914283149915312e-10,1.1410199167024712e-10,2.4783040286345446e-11,3.7383681720236476e-11,1.7996528013732686e-11,0
-6.154423230207588e-07,2.9140413745008905e-05,1.0123550727553347e-09,8.054339980209482e-10,2.0389751362212222e-10,3.944307098755884e-11,7.283276909299172e-11,4.8798307467669366e-11,0
7.774245907703351e-07,1.585322847099513e-05,2.6729302687471557e-10,8.871146473227906e-11,3.6990101273077316e-11,1.4320456012905317e-11,5.423778430061822e-11,3.723051180293914e-11,0
-6.731715070037209e-07,2.857668522444002e-05,1.0576161383836573e-09,4.141022515106093e-10,1.1642309582457766e-10,2.7782544632487424e-11,5.603197850435819e-11,3.543849776541931e-11,0
7.66857188945474e-07,3.7814445647203324e-05,2.103501701269755e-09,1.2327397005719554e-09,2.0880442102106972e-10,4.2531626935281166e-11,7.359170268690261e-11,4.5407461659196557e-11,0
-6.776522982134839e-07,1.8134408035797847e-05,3.4782999591733534e-10,1.1429950287116866e-10,5.901496006326121e-11,1.9769111455085858e-11,5.935552222623311e-11,3.40104742018489e-11,0
-9.241433350630222e-08,2.6562327213315773e-05,1.091214657692658e-09,7.627573266712886e-10,1.2686896204002888e-10,3.2529069912348054e-11,5.605349342728714e-11,3.05466146411311e-11,0
1.5233182283905269e-07,1.4930535457291007e-05,2.2732518010764858e-10,9.905848669491815e-11,4.850602478578761e-11,1.5272262132117885e-11,2.989834341832587e-11,1.47731229030037e-11,0
4.0394529236638504e-07,2.859649915924171e-05,1.182793821934231e-09,6.323801587585976e-10,1.257508259774943e-10,4.044408034352536e-11,1.0029080030817131e-10,8.029181563405706e-11,0
-1.2392537159060793e-06,2.3863468907035737e-05,7.515097855585515e-10,4.881373743967201e-10,1.2061653744406e-10,2.242489340159495e-11,4.48793327855889e-11,2.2941076861306813e-11,0
8.648760958066678e-07,2.3356384760975032e-05,7.380773643012116e-10,5.313905685808564e-10,2.0503893918708953e-10,5.87849335320886e-11,6.218273022949839e-11,2.6426691674756337e-11,0
-1.3799844833216341e-07,2.725702171808811e-05,1.1201141536912716e-09,9.628515069552325e-10,2.048493968446169e-10,3.231916657917615e-11,7.992911499860694e-11,5.5609115080339266e-11,0
-5.9112318237380185e-08,3.0171853246659802e-05,1.3177394574239105e-09,6.557114880923993e-10,1.163860269429366e-10,3.183566804864076e-11,1.2713641457710072e-10,1.5228289089286826e-10,0
3.3119896043949817e-07,2.9168123931079824e-05,1.4372153093607173e-09,5.002575969863836e-10,7.484629688208273e-11,2.6912690830758317e-11,1.5370410595385242e-10,1.5431055986472303e-10,0
-2.451220998637404e-07,2.2854016308731006e-05,5.860636481743801e-10,2.180920651559628e-10,8.916474516146746e-11,3.239460645823248e-11,9.525789926917472e-11,7.046688667085257e-11,0
4.2803775169783287e-07,2.4704952050225093e-05,7.216275459908728e-10,2.37896011385743e-10,1.1122267949866674e-10,2.922793526975653e-11,1.2335617653210646e-10,1.6409453785491763e-10,0
-1.9233789749794905e-07,3.4866939353630424e-05,1.5609052422598277e-09,7.76497227299461e-10,2.627940339764865e-10,6.322034733036789e-11,1.6834205623639176e-10,1.1685484799394372e-10,0
-4.251033994979895e-07,2.3714843703322972e-05,6.451100419972374e-10,2.561284697162738e-10,8.263005358747578e-11,2.6651926312857902e-11,1.0056624717822386e-10,5.294581742023081e-11,0
2.2838438144097392e-07,2.9225348294087512e-05,1.1565081070675933e-09,9.143787102355524e-10,1.9857270589431836e-10,4.171816798445289e-11,5.66958811420514e-11,2.7408557306273105e-11,0
-3.164538722984708e-07,3.484509996520967e-05,1.771957477503652e-09,1.5061673283727724e-09,1.991116649619734e-10,3.295167930926533e-11,6.766914237711409e-11,3.825359151350766e-11,0
5.546791079819006e-07,2.8626645526720124e-05,1.0880770071158542e-09,8.715263363729396e-10,1.9871344575494954e-10,3.9220036593887856e-11,7.467362783888789e-11,3.514028479849529e-11,0
-2.4561031800923354e-07,2.3433388382597917e-05,5.869195711974486e-10,3.442860408020671e-10,1.760105563859164e-10,3.315488224528121e-11,5.436702014956665e-11,2.7856546539618263e-11,0
2.7841874159900456e-07,2.7554375879202432e-05,9.72010285384867e-10,7.132185721508452e-10,1.9895925205664697e-10,3.554449589866372e-11,9.76641315311111e-11,6.588613775518629e-11,0
-1.7488064924472207e-07,3.7282291951658446e-05,2.3323530117210465e-09,2.1558593129069886e-09,2.0675343813456886e-10,3.998158510350409e-11,8.645235267218464e-11,5.80962093559938e-11,0
-1.2018997047205108e-07,2.2751010773372523e-05,6.016967633210207e-10,2.690297767195233e-10,6.214514569790992e-11,2.2922500854523364e-11,6.436424651790314e-11,3.3116708860171894e-11,0
-4.0312740218689076e-07,2.6945981831441233e-05,8.095413620777886e-10,4.913314227519892e-10,1.1090896948093903e-10,3.611506252754058e-11,1.0659388471161624e-10,5.457030381987322e-11,0
1.4720197340463635e-07,2.5007847337867666e-05,7.928148085936726e-10,4.448635458004686e-10,1.250012501718963e-10,3.42660119279026e-11,4.632634264817668e-11,2.4117762724639763e-11,0
7.537660095750755e-07,3.373557999359764e-05,1.8463259788054747e-09,1.2635949521511393e-09,2.422516264538281e-10,2.5930361471501146e-11,3.565628430910536e-11,2.5141599939616186e-11,0
-8.137585911032189e-07,3.0110939774270262e-05,1.4208612726055915e-09,1.176402411185879e-09,2.9333098997670465e-10,3.0447046367886125e-11,4.5458289133197506e-11,2.175213617901317e-11,0
4.970247402067207e-07,2.474218126547679e-05,7.096028031627766e-10,3.8575310232079293e-10,1.2919892746302152e-10,3.373276790797594e-11,6.326735434631717e-11,3.127014322585108e-11,0
7.239984164105204e-08,2.4334857977574174e-05,6.797710897238528e-10,3.6835972723818424e-10,1.0396140168375456e-10,3.0033657304653466e-11,7.28419310232727e-11,3.804511613356556e-11,0
-9.686235621737054e-08,2.7406689339738996e-05,1.0341248052649418e-09,7.885355585457083e-10,1.6756452678960847e-10,2.972018190678057e-11,4.236713636465909e-11,2.1555564675052155e-11,0
-6.842554701401465e-08,3.270130000744277e-05,1.4640802127397643e-09,1.4296399026953155e-09,2.2813047320710377e-10,3.2671683600930176e-11,8.050758293930232e-11,3.604707607135889e-11,0
-5.272363993702589e-07,2.625694383866478e-05,8.295933042390911e-10,3.8008769211320676e-10,1.2674066134298293e-10,3.072075003877916e-11,7.967633947427872e-11,6.176043238159643e-11,0
4.52101851855316e-07,2.816691571098714e-05,9.635681867418371e-10,6.180283017588165e-10,1.9845944951523541e-10,4.581324867187072e-11,7.043756335698532e-11,3.179739273091668e-11,0
-2.728399679014321e-07,3.452789176342622e-05,1.8317426625118508e-09,1.131252160092007e-09,2.8037901124346164e-10,4.79262836978363e-11,6.231642879069183e-11,3.4831220790943385e-11,0
6.135009658487474e-07,2.009661334202112e-05,4.6511222441030077e-10,2.190262079179672e-10,1.0723370351610021e-10,3.335917527402375e-11,7.398701330744015e-11,4.158245588585891e-11,0
-1.7736876972355462e-07,2.4144628476723515e-05,8.828866774742802e-10,3.657402976631149e-10,1.3592631513697159e-10,2.6663804745140174e-11,7.87321268587668e-11,4.615115491361195e-11,0
1.9510666876264352e-07,2.609282640835625e-05,9.764432074327985e-10,1.1018619939784844e-10,6.565296005598357e-11,2.661849568658267e-11,1.34867252751733e-10,1.1638673308463343e-10,0
-2.0482896170383904e-07,2.652325497493294e-05,7.679170543675592e-10,3.735573793001959e-10,1.0181448970247898e-10,3.914303168649275e-11,8.072389886360244e-11,5.325072868121959e-11,0
-1.0528560218264047e-07,3.19622742367486e-05,1.3895695061142373e-09,8.646460953752324e-10,1.5877284467764484e-10,4.4071997395118606e-11,1.0261944058092623e-10,7.337746950072682e-11,0
4.292130244676791e-07,3.055572269690506e-05,1.2760139612639151e-09,1.0262829862458933e-09,2.9227418827917835e-10,5.487931375745278e-11,1.0409488515641942e-10,6.514836585146275e-11,0
-4.2011644249865363e-07,3.187404780924589e-05,1.5088601931120203e-09,7.900869959507715e-10,2.3214394305450018e-10,4.007714822599821e-11,8.535021224102372e-11,5.247284870250699e-11,0
6.737330773806735e-08,4.154831507637541e-05,2.60499299963299e-09,2.4705188350756355e-09,3.3577909266143546e-10,4.6796523669634305e-11,5.6088406660323156e-11,2.376689605685187e-11,0
1.8482011578800003e-08,3.160268711767756e-05,1.5035666493250212e-09,1.520502239940403e-09,3.125314043434684e-10,5.0631597236991674e-11,8.138502775423058e-11,4.614497005374709e-11,0
5.470040441199683e-08,2.1599639438435386e-05,5.575396715219788e-10,2.9823049138524843e-10,6.644996393404812e-11,2.912885947444505e-11,5.7204257891464904e-11,2.3926715381790746e-11,0
-1.2699516615878938e-07,2.3992456827077445e-05,7.551121372412149e-10,4.712052512948245e-10,9.27518607895221e-11,2.5110951043311714e-11,3.0615290716263966e-11,1.4191427656863303e-11,0
-1.084732707718004e-06,2.7642685105443833e-05,9.607257605745654e-10,4.991667815224946e-10,1.269991949904435e-10,3.239115931541185e-11,6.42389015282278e-11,3.8961428929855787e-11,0
6.66827431777688e-07,3.577907684735034e-05,2.014314661171256e-09,6.381135829166805e-10,1.37736669732878e-10,3.1106644037212863e-11,3.6774945374384715e-11,1.9935060903779152e-11,0
-8.763923639564638e-07,3.095241722390269e-05,1.2997166281915669e-09,9.546918275337364e-10,2.9578156341766406e-10,4.690615242874518e-11,4.0604342238601146e-11,1.758055312404428e-11,0
1.220834645570555e-06,2.7649622487555394e-05,1.1839258509845922e-09,9.443115721102796e-10,1.7612341462194545e-10,2.8628045194193255e-11,3.861217771407374e-11,2.1811029959701137e-11,0
2.3338893170407474e-07,2.533346946966303e-05,7.727337316104306e-10,4.521522572269719e-10,1.749578574337818e-10,3.8801240396318274e-11,5.7151340621384476e-11,3.393965285163521e-11,0
1.0079754357167439e-07,3.104349167249158e-05,1.4092657972522379e-09,8.862408370986157e-10,2.0586773509588184e-10,4.69159418322728e-11,9.064284952657964e-11,4.961367504139074e-11,0
3.2769627037751615e-08,3.0271528694686543e-05,1.238747828689427e-09,5.760857044253534e-10,1.6715645487642614e-10,4.816441165595453e-11,4.375370402566888e-11,2.429096444342209e-11,0
-1.891588918584897e-07,3.363626991949654e-05,1.5916268199615435e-09,6.85126711855917e-10,1.6297549890677089e-10,3.487641724010161e-11,6.927161460435263e-11,3.030162017898813e-11,0
1.0348010707309722e-06,3.6503673712834224e-05,2.0072965057752758e-09,1.3481205264235107e-09,1.2600809085674716e-10,4.081375475656187e-11,4.619272956291616e-11,2.810238563297687e-11,0
-1.1119138234313996e-06,2.3207622246165946e-05,6.569145879427695e-10,1.3440889595888353e-10,4.9279862647348156e-11,1.82828318398417e-11,4.772530231476623e-11,2.7002964755022367e-11,0
-2.1583505716949237e-07,2.3761829049366506e-05,6.510997573538049e-10,5.393424638556326e-10,1.3351685899987714e-10,2.9520114477972145e-11,3.795966320081925e-11,2.029518526984601e-11,0
-1.7267014314843871e-06,4.70031660144361e-05,3.387542991967535e-09,1.9390832754549515e-09,8.88709427545693e-11,3.942119106121413e-11,4.9160131887775534e-11,2.251055805127614e-11,0
2.7169618865465395e-06,3.312360096600365e-05,1.426978680515808e-09,8.571941346106336e-10,2.0227980219299801e-10,4.484515256999024e-11,6.698333710988464e-11,3.894667773194241e-11,0
-9.927695422860787e-07,2.822486721856267e-05,1.0753902723104628e-09,6.298717745810379e-10,1.556331134928558e-10,2.3240782137500958e-11,2.7734041420119592e-11,1.2873778042017326e-11,0
2.465913108145139e-07,3.781455668080866e-05,2.4485115811276695e-09,1.5084700136334358e-09,3.041496826418166e-10,3.9592421536523386e-11,4.933826547572925e-11,2.2817772711609256e-11,0
5.037134833380183e-07,2.38900309303672e-05,7.305858783262354e-10,3.662398869245935e-10,8.774789440904198e-11,2.1700108271684908e-11,5.3590094214660085e-11,2.7673002661187653e-11,0
-1.103494251665211e-06,2.7487197995773232e-05,1.1657222505363248e-09,9.071502155751678e-10,2.2289084782247992e-10,4.132627309938563e-11,7.246945761312575e-11,4.442754311539965e-11,0
4.023629976774313e-07,3.04824229749834e-05,1.2669600847151339e-09,5.826915901532544e-10,1.1918681625125027e-10,2.4445653217803077e-11,5.6031091895858235e-11,2.5107160854484297e-11,0
4.08632492678149e-08,3.2645146088256655e-05,1.4620192188901518e-09,9.35309404056632e-10,2.2078806085146383e-10,5.3566563092472726e-11,1.2921275890939183e-10,1.3295682702172583e-10,0
2.676555881554335e-07,3.878036513977677e-05,1.9630723705153293e-09,1.3711771154568637e-09,3.03936029723121e-10,6.916019029733213e-11,1.3008073870301807e-10,1.428487621564673e-10,0
-5.222953321423369e-07,3.124844193189411e-05,1.3204289498007504e-09,3.800566422760722e-10,1.8461128152738405e-10,4.423532471384068e-11,1.2919350921107279e-10,7.119104946473847e-11,0
4.29575949681979e-07,2.74230103707462e-05,1.0961058207567109e-09,6.098953141908537e-10,1.4581465529596857e-10,2.4402695315525857e-11,7.81272257143801e-11,5.748217977632466e-11,0
-3.578357502213501e-07,2.2645701158088923e-05,6.686034628028711e-10,5.059877366109801e-10,1.8526867066836743e-10,2.8789251182868788e-11,6.286548791053798e-11,3.1397146558159366e-11,0
6.236860720276363e-07,2.4130610477196194e-05,7.842694906110166e-10,3.0900112742347434e-10,9.859614931511534e-11,1.9629522343870926e-11,5.3149576394168964e-11,2.830835580233228e-11,0
-5.728917415388827e-07,2.3015547205024168e-05,6.145325852372334e-10,3.7122605001753075e-10,1.2774836967898883e-10,3.021432240469439e-11,5.556285531533522e-11,3.991915840804945e-11,0
2.912768833122036e-07,1.7412376838853283e-05,3.150176263142188e-10,1.4993595659832023e-10,5.554829488857719e-11,1.7523584504882165e-11,2.925647212952844e-11,1.2664634917289442e-11,0
-3.8313468170338167e-07,3.5609799756628094e-05,1.9338373247491264e-09,9.108701401490002e-10,3.091869722137973e-10,5.17696071424149e-11,8.304153621777987e-11,7.002965459425327e-11,0
3.4015097175973145e-07,1.5611522143003334e-05,2.623416736693428e-10,7.342566947132555e-11,3.606366284094373e-11,1.3702852507849901e-11,5.6976442678238324e-11,1.984003791668412e-11,0
-4.634142171146904e-07,2.330670356982633e-05,7.951812107744764e-10,4.681051200185127e-10,1.2669604007204312e-10,2.982838526024017e-11,1.2266100312871585e-10,1.205359473044521e-10,0
9.394632009224017e-07,2.600119581372516e-05,9.083748331836222e-10,1.820148477444725e-10,5.77726265112941e-11,2.227356558291793e-11,7.438003458674657e-11,3.801330001530378e-11,0
5.0366906285849466e-08,2.3246034068980693e-05,6.109806022231847e-10,2.66196980413018e-10,8.009573971243257e-11,3.0362880745764754e-11,6.227767004159588e-11,4.238046741580978e-11,0
-4.884542555694713e-07,3.0565801341428045e-05,1.2626664416526992e-09,5.189731666128647e-10,1.4905004884640671e-10,3.596737762394397e-11,1.3124621622814629e-10,1.1922297537797157e-10,0
1.2127277941961437e-07,2.8769339421611052e-05,1.2677363317776182e-09,4.387555065751793e-10,1.2545958915774584e-10,3.858194135576778e-11,8.574747084004705e-11,5.2913795354142265e-11,0
-1.815953319697863e-07,2.323463420455291e-05,6.441437694624353e-10,3.261854775525028e-10,8.827393625324603e-11,3.1828693968122595e-11,9.516065484437316e-11,6.852529981822589e-11,0
7.158576034189852e-08,2.538796589456999e-05,8.98912270509606e-10,4.72658470866037e-10,1.818545879422881e-10,5.051562578452833e-11,6.5667425155959e-11,3.9488129520167594e-11,0
1.6542515210342292e-07,2.86047102077378e-05,1.2236320160225762e-09,5.581969053586389e-10,1.361228041532757e-10,2.8160950687719737e-11,9.335311704679952e-11,5.271993884718148e-11,0
-9.85353605005183e-08,3.242553950642441e-05,1.4222610181427655e-09,9.976450444778955e-10,1.4497732811108682e-10,4.1379373763627463e-11,1.4588602640876202e-10,1.0844489545390694e-10,0
-4.48829185437412e-07,2.0833131293599363e-05,5.06530568831647e-10,1.2671567165513252e-10,5.738634530083323e-11,2.2495703390978685e-11,1.1918042399577255e-10,8.093573007041792e-11,0
7.21807013037463e-07,3.1602937993457334e-05,1.4509648178919113e-09,1.1556042180113707e-09,1.563328616196304e-10,6.396100601886096e-11,1.3576501994426375e-10,1.6408452646241894e-10,0
-4.2538573106023447e-07,2.6255108758028654e-05,8.300931448183159e-10,4.696289841842906e-10,1.2469128434328818e-10,3.108530516799064e-11,5.2122665967194545e-11,2.3868931597401924e-11,0
1.600587650669227e-08,3.637375261707237e-05,1.9640359609481173e-09,1.2369771604010527e-09,2.6177462825529557e-10,5.971222494215163e-11,1.486342383369876e-10,1.9083916431230043e-10,0
-5.35486378462922e-07,3.262555714608416e-05,1.517710096914652e-09,1.4086438801610359e-09,2.0921246626951533e-10,3.078644796526071e-11,8.515430503988896e-11,3.941446270418683e-11,0
3.6606255684020776e-07,2.7081224818760295e-05,9.501114151082924e-10,5.400137181002217e-10,1.5101962414983338e-10,4.025608830242717e-11,5.897047628723272e-11,2.2450100105207086e-11,0
-6.147878802429982e-07,3.344135726429981e-05,1.586186486837025e-09,9.362756014991787e-10,2.3682110852135954e-10,3.585980616994552e-11,4.390233159854684e-11,2.4859666903799696e-11,0
3.6586022687946763e-07,2.778849024848545e-05,1.0248911574717377e-09,7.25144348736392e-10,1.486586788238809e-10,5.706638003785799e-11,3.879216911502746e-11,2.137861396768433e-11,0
